Fund Symbol	Fund Cusip	Fund Name	Category	Subcategory
DUST	25459W235	Direxion Daily Gold Miners Bear 3X Shares	Commodity	PRECIOUS METALS
DVY	464287168	iShares Dow Jones Select Dividend Index Fund	Equity	INCOME
DVYA	464286293	iShares Asia Pacific Dividend 30 Index Fund	Global Equity	INCOME
DVYE	464286319	iShares Emerging Markets Dividend Index Fund	Global Equity	INCOME
DVYL	90268G607	ETRACS Monthly Pay 2xLeveraged Dow Jones Select Dividend Index ETN	Equity	INCOME
DWAS	73936Q744	PowerShares DWA Small Cap Technical Leaders Portfolio	Equity	SMALL-CAP
DWM	97717W703	WisdomTree DEFA Fund	Global Equity	INCOME
DWTI	22542D548	VelocityShares 3x Inverse Crude ETN linked to the S&P GSCI Crude Oil Index Excess Return	Commodity	NATURAL RESOURCES
DWX	78463X772	SPDR S&P International Dividend ETF	Global Equity	INCOME
DXD	74348A590	ProShares UltraShort Dow 30	Equity	LARGE-CAP
DXJ	97717W851	WisdomTree Japan Hedged Equity Fund	Global Equity	ASIAN REGION
DYY	25154H475	PowerShares DB Commodity Double Long ETN	Commodity	COMMODITIES
DZK	25459W789	Direxion Daily Developed Markets Bull 3X Shares	Global Equity	INTERNATIONAL
DZZ	25154H756	PowerShares DB Gold Double Short ETN	Commodity	PRECIOUS METALS
EAPS	70422P206	Pax MSCI EAFE ESG Index ETF	Global Equity	GLOBAL
EBND	78464A391	SPDR Barclays Emerging Markets Local Bond ETF	Fixed Income	FIXED INCOME
ECH	464286640	iShares MSCI Chile Investable Market Index Fund	Global Equity	EMERGING MARKETS
ECNS	46429B200	iShares MSCI China Small Cap Index Fund	Global Equity	SMALL-CAP
ECON	268461779	EGShares Emerging MarketsConsumer ETF	Global Equity	EMERGING MARKETS
EDC	25459Y686	Direxion Daily Emerging Markets Bull 3X Shares	Global Equity	EMERGING MARKETS
EDEN	46429B523	iShares MSCI Denmark Capped Investable Market Index Fund	Global Equity	EUROPEAN REGION
EDIV	78463X533	SPDR S&P Emerging Markets Dividend ETF	Global Equity	INCOME
EDV	921910709	Vanguard Extended Duration Treasury Index Fund	Fixed Income	FIXED INCOME
EDZ	25459W482	Direxion Daily Emerging Markets Bear 3X Shares	Global Equity	EMERGING MARKETS
EEB	18383M100	Guggenheim BRIC ETF	Global Equity	EMERGING MARKETS
EEH	870297504	ELEMENTS SPECTRUM Large Cap US Sector Momentum Index ETN	Equity	LARGE-CAP
EEHB	73937B670	Power Shares S&P Emerging Markets High Beta Portfolio	Global Equity	EMERGING MARKETS
EELV	73937B662	PowerShares S&P Emerging Markets Low Volatility Portfolio	Global Equity	EMERGING MARKETS
EEM	464287234	iShares MSCI Emerging Markets Index Fund	Global Equity	EMERGING MARKETS
EEMA	464286426	iShares MSCI Emerging Markets Asia Index Fund	Global Equity	EMERGING MARKETS
EEME	464286384	iShares MSCI Emerging Markets EMEA Index Fund	Global Equity	EMERGING MARKETS
EEML	46429B382	iShares MSCI Emerging Markets Latin America Index Fund	Global Equity	EMERGING MARKETS
EEMS	464286475	iShares MSCI Emerging Markets Small Cap Index Fund	Global Equity	EMERGING MARKETS
EEMV	464286533	iShares MSCI Emerging Markets Minimum Volatility Index Fund	Global Equity	EMERGING MARKETS
EES	97717W562	WisdomTree SmallCap Earnings Fund	Equity	SMALL-CAP
EET	74347X302	ProShares Ultra MSCI Emerging Markets	Global Equity	EMERGING MARKETS
EEV	74347X575	ProShares UltraShort MSCI Emerging Markets	Global Equity	EMERGING MARKETS
EFA	464287465	iShares MSCI EAFE Index Fund	Global Equity	INTERNATIONAL
