"New Stock List as of 1/17/2014",,,
APD,Air Prods & Chems Inc,NYSE Euronext,United States,Materials
APH,Amphenol Corp,NYSE Euronext,United States,Industrials
APO,"Apollo Global Management, Inc.",NYQ,United States,Financials
APP,AppLovin Corporation,NMS,United States,Services
APTV,Aptiv PLC,NYQ,Switzerland,Goods
ARB,ALTSHARES MERGER ARBITRAGE ETF,PCX,US,Technology
ARCO,ARCOS DORADOS HOLDINGS INC.,NYQ,Uruguay,ConsumerDiscr
ARE,Alexandria Real Estate,NYSE Euronext,United States,Financials
ARES,Ares Management Corporation,NYQ,United States,Financials
ARI,"APOLLO COMMERCIAL REAL ESTATE FINANCE, INC.",NYQ,United States,Financials
ARL,"AMERICAN REALTY INVESTORS, INC.",NYQ,United States,Financials
ARM,ARM HOLDINGS PLC,NMS,United Kingdom,Technology
ARR,"ARMOUR RESIDENTIAL REIT, INC.",NYQ,United States,Financials
ARW,Arrow Electronics Inc,NYSE Euronext,United States,Industrials
ARX,ACCELERANT HOLDINGS,NYQ,Cayman Islands,Financials
ASH,Ashland Inc,NYSE Euronext,United States,Materials
ASML,ASML HOLDING N.V.,NMS,Netherlands,Technology
ASML.AS,ASML Holding,Euronext Amsterdam,Netherlands,Technology
ASR,"GRUPO AEROPORTUARIO DEL SURESTE, S. A. B. DE C. V.",NYQ,Mexico,Industrials
ASX,"ASE TECHNOLOGY HOLDING CO., LTD.",NYQ,Taiwan,Technology
ATI,Allegheny Technologies,NYSE Euronext,United States,Materials
ATO,Atmos Energy Corp,NYSE Euronext,United States,Utilities
ATR,Aptargroup Inc,NYSE Euronext,United States,Industrials
AU,ANGLOGOLD ASHANTI PLC,NYQ,United States,BasicMaterials
AUTO.L,AUTOTRADER GROUP PLC,LSE,United Kingdom,Technology
AV,CORGI AEROSPACE & COMMERCIAL AVIATION ETF,BTS,US,Technology
AV.L,AVIVA,London Stock Exchange,United Kingdom,Financials
AVA,AVISTA CORPORATION,NYQ,United States,Utilities
AVB,Avalonbay Cmntys Inc,NYSE Euronext,United States,Financials
AVD,AMERICAN VANGUARD CORPORATION,NYQ,United States,BasicMaterials
AVGO,Avago Technologies Ltd,NASDAQ Global Select,Singapore,Technology
AVT,Avnet Inc,NYSE Euronext,United States,Industrials
AVX,AVX Corp,NYSE Euronext,United States,Industrials
AVY,Avery Dennison Corp,NYSE Euronext,United States,Materials
AWI,Armstrong World Inds In,NYSE Euronext,United States,Industrials
AWK,American Wtr Wks Co Inc,NYSE Euronext,United States,Utilities
AWR,AMERICAN STATES WATER COMPANY,NYQ,United States,Utilities
AXON,"Axon Enterprise, Inc.",NMS,United States,Industrials
AXP,American Express Co,NYSE Euronext,United States,Financials
AXR,AMREP CORPORATION,NYQ,United States,Financials
AXS,Axis Capital Holdings,NYSE Euronext,United States,Financials
AYI,ACUITY INC.,NYQ,United States,Industrials
AZN,ASTRAZENECA PLC,NYQ,United Kingdom,Healthcare
AZN.L,Astrazeneca,London Stock Exchange,United Kingdom,Health Care
AZO,Autozone Inc,NYSE Euronext,United States,Services
AZZ,AZZ INC.,NYQ,United States,Industrials
B,BARRICK MINING CORPORATION,NYQ,Canada,BasicMaterials
BA,Boeing Co,NYSE Euronext,United States,Industrials
BA.L,BAE Systems,London Stock Exchange,United Kingdom,Goods
BAB.L,Babcock International,London Stock Exchange,United Kingdom,Services
BAC,Bank Of America,NYSE Euronext,United States,Financials
BAH,Booz Allen Hamilton Hld,NYSE Euronext,United States,Industrials
BALL,Ball Corporation,NYQ,United States,Goods
BALT,INNOVATOR DEFINED WEALTH SHIELD ETF,BTS,US,Technology
BAM,BROOKFIELD ASSET MANAGEMENT LTD.,NYQ,United States,Financials
BAP,CREDICORP LTD.,NYQ,Peru,Financials
BARC.L,Barclays,London Stock Exchange,United Kingdom,Financials
BAS.DE,BASF SE,GER,Germany,BasicMaterials
BATS.L,British American Tobacco,London Stock Exchange,United Kingdom,Goods
BAX,Baxter International,NYSE Euronext,United States,Health Care
BAYN.DE,Bayer Ag,Frankfurt Stock Exchange,Germany,Health Care
BBT,BB&T Corp,NYSE Euronext,United States,Financials
BBVA,Banco Bilbao Vizcaya Argentaria,Madrid Stock Exchange,Spain,Financials
BBVA.MC,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",MCE,Spain,Financials
BBW,"BUILD-A-BEAR WORKSHOP, INC.",NYQ,United States,ConsumerDiscr
BBY,Best Buy Inc,NYSE Euronext,United States,Services
BC,BRUNSWICK CORPORATION,NYQ,United States,ConsumerDiscr
BCE,BCE INC.,NYQ,Canada,Technology
BCH,BANCO DE CHILE,NYQ,Chile,Financials
BCO,THE BRINK'S COMPANY,NYQ,United States,Industrials
BCS,BARCLAYS PLC,NYQ,United Kingdom,Financials
BDC,BELDEN INC.,NYQ,United States,Technology
BDN,Brandywine Realty Trust,NYSE Euronext,United States,Financials
BDX,Becton Dickinson & Co,NYSE Euronext,United States,Health Care
BEAM,Beam Inc,NYSE Euronext,United States,Goods
BEN,Franklin Resources Inc,NYSE Euronext,United States,Financials
BF-A,BROWN-FORMAN CORPORATION,NYQ,United States,ConsumerStpl
BF-B,Brown Forman Corp,NYSE Euronext,United States,Goods
BFS,"SAUL CENTERS, INC.",NYQ,United States,Financials
BG,Bunge Limited,NYSE Euronext,United States,Goods
BGC,"BGC GROUP, INC.",NMS,United States,Financials
BGS,"B&G FOODS, INC.",NYQ,United States,ConsumerStpl
BH,BIGLARI HOLDINGS INC.,NYQ,United States,ConsumerDiscr
BHE,"BENCHMARK ELECTRONICS, INC.",NYQ,United States,Technology
BHP,BHP Billiton,NYSE Euronext,United Kingdom,Materials
BIIB,Biogen Idec Inc,NASDAQ Global Select,United States,Health Care
BIO,Bio Rad Laboratories In,NYSE Euronext,United States,Health Care
BIO-B,"BIO-RAD LABORATORIES, INC.",NYQ,United States,Healthcare
BITA,ISHARES BITCOIN PREMIUM INCOME ETF,NGM,US,Technology
BK,Bank Of New York Mellon,NYSE Euronext,United States,Financials
BKD,Brookdale Senior Living,NYSE Euronext,United States,Health Care
BKE,"THE BUCKLE, INC.",NYQ,United States,ConsumerDiscr
BKG.L,THE BERKELEY GROUP HOLDINGS PLC,LSE,United Kingdom,ConsumerDiscr
BKH,BLACK HILLS CORPORATION,NYQ,United States,Utilities
BKNG,Booking Holdings Inc.,NMS,United States,Goods
BKR,Baker Hughes Company,NMS,United States,Oil & Gas
BKU,Bankunited Inc,NYSE Euronext,United States,Financials
BLDR,"Builders FirstSource, Inc.",NYQ,United States,Industrials
BLK,Blackrock Inc,NYSE Euronext,United States,Financials
BLND.L,British Land Co,London Stock Exchange,United Kingdom,Financials
BLX,BLADEX INC.,NYQ,Panama,Financials
BMA,BANCO MACRO S.A.,NYQ,Argentina,Financials
BMI,"BADGER METER, INC.",NYQ,United States,Technology
BMO,BANK OF MONTREAL,NYQ,Canada,Financials
BMR,Biomed Realty Trust Inc,NYSE Euronext,United States,Financials
BMW.DE,BMW,Frankfurt Stock Exchange,Germany,Goods
BMY,Bristol Myers Squibb,NYSE Euronext,United States,Health Care
BN.PA,Danone,Euronext Paris,France,Goods
BNP.PA,BNP Paribas,Euronext Paris,France,Financials
BNS,THE BANK OF NOVA SCOTIA,NYQ,Canada,Financials
BNY,The Bank of New York Mellon Cor,NYQ,United States,Financials
BNZL.L,Bunzl,London Stock Exchange,United Kingdom,Services
BOH,Bank Of Hawaii,NYSE Euronext,United States,Financials
BOX,"BOX, INC.",NYQ,United States,Technology
BP,BP,NYSE Euronext,United Kingdom,Oil & Gas
BP.L,BP P.L.C.,LSE,United Kingdom,Energy
BPI,GRAYSCALE BITCOIN PREMIUM INCOME ETF,PCX,US,Technology
BR,Broadridge Financial In,NYSE Euronext,United States,Industrials
BRBY.L,Burberry Group,London Stock Exchange,United Kingdom,Services
BRC,BRADY CORPORATION,NYQ,United States,Industrials
BRK-A,BERKSHIRE HATHAWAY INC.,NYQ,United States,Financials
BRK-B,Berkshire Hathaway,NYSE Euronext,United States,Financials
BRO,Brown & Brown Inc,NYSE Euronext,United States,Financials
BRT,BRT APARTMENTS CORP.,NYQ,United States,Financials
BSX,Boston Scientific Co,NYSE Euronext,United States,Health Care
BT-A.L,BT GROUP PLC,LSE,United Kingdom,Technology
BTE,BAYTEX ENERGY CORP.,NYQ,Canada,Energy
BTU,Peabody Energy Corp,NYSE Euronext,United States,Materials
BUD,ANHEUSER-BUSCH INBEV SA/NV,NYQ,Belgium,ConsumerStpl
BVN,COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.,NYQ,Peru,BasicMaterials
BWA,Borg Warner Inc,NYSE Euronext,United States,Goods
BX,Blackstone Inc.,NYQ,United States,Financials
BXC,BLUELINX HOLDINGS INC.,NYQ,United States,Industrials
BXP,Boston Properties Inc,NYSE Euronext,United States,Financials
BYD,BOYD GAMING CORPORATION,NYQ,United States,ConsumerDiscr
BZ,KANZHUN LIMITED,NMS,China,Technology
BZH,"BEAZER HOMES USA, INC.",NYQ,United States,ConsumerDiscr
C,Citigroup Inc,NYSE Euronext,United States,Financials
CA.PA,Carrefour,Euronext Paris,France,Services
