"New Stock List as of 1/17/2014",,,
DSY.PA,DASSAULT SYSTÈMES SE,PAR,France,Technology
DTE,DTE Energy Co,NYSE Euronext,United States,Utilities
DTE.DE,Deutsche Telekom,Frankfurt Stock Exchange,Germany,Technology
DTG,DTE ENERGY COMPANY 2021 SERIES ,NYQ,US,Technology
DUK,Duke Energy Corp,NYSE Euronext,United States,Utilities
DV,DeVry Education Group,NYSE Euronext,United States,Services
DVA,Davita Inc,NYSE Euronext,United States,Health Care
DVN,Devon Energy Corp,NYSE Euronext,United States,Oil & Gas
DX,"DYNEX CAPITAL, INC.",NYQ,United States,Financials
DXCM,"DexCom, Inc.",NMS,United States,Health Care
DY,"DYCOM INDUSTRIES, INC.",NYQ,United States,Industrials
DYN,"DYNE THERAPEUTICS, INC.",NMS,United States,Healthcare
E,ENI S.P.A.,NYQ,Italy,Energy
EA,Electronic Arts Inc,NASDAQ Global Select,United States,Technology
EAT,Brinker International,NYSE Euronext,United States,Services
EBF,"ENNIS, INC.",NYQ,United States,Industrials
EBS,EMERGENT BIOSOLUTIONS INC.,NYQ,United States,Healthcare
EC,ECOPETROL S.A.,NYQ,Colombia,Energy
ECHO,EchoStar Corporation,NMS,United States,Services
ECL,Ecolab Inc,NYSE Euronext,United States,Materials
ED,Consolidated Edison Inc,NYSE Euronext,United States,Utilities
EDN,EMPRESA DISTRIBUIDORA Y COMERCIALIZADORA NORTE SOCIEDAD ANÓNIMA,NYQ,Argentina,Utilities
EDU,NEW ORIENTAL EDUCATION & TECHNOLOGY GROUP INC.,NYQ,China,ConsumerStpl
EE,"EXCELERATE ENERGY, INC.",NYQ,United States,Energy
EFX,Equifax Inc,NYSE Euronext,United States,Financials
EG,"Everest Group, Ltd.",NYQ,Bermuda,Financials
EGO,ELDORADO GOLD CORPORATION,NYQ,Canada,BasicMaterials
EGP,"EASTGROUP PROPERTIES, INC.",NYQ,United States,Financials
EGY,"VAALCO ENERGY, INC.",NYQ,United States,Energy
EIG,"EMPLOYERS HOLDINGS, INC.",NYQ,United States,Financials
EIX,Edison International,NYSE Euronext,United States,Utilities
EL,Estee Lauder Companies,NYSE Euronext,United States,Goods
ELS,Equity Lifestyle Prop,NYSE Euronext,United States,Financials
ELV,"Elevance Health, Inc.",NYQ,United States,Health Care
EMC,EMC Corporation,NYSE Euronext,United States,Technology
EME,"EMCOR Group, Inc.",NYQ,United States,Industrials
EMN,Eastman Chemical Co,NYSE Euronext,United States,Materials
EMR,Emerson Electric Co,NYSE Euronext,United States,Industrials
EN.PA,BOUYGUES SA,PAR,France,Industrials
ENB,ENBRIDGE INC.,NYQ,Canada,Energy
ENEL.MI,Enel SpA,Milan Stock Exchange,Italy,Utilities
ENGI.PA,ENGIE SA,PAR,France,Utilities
ENI.MI,ENI,Milan Stock Exchange,Italy,Oil & Gas
ENR,Energizer Holdings Inc,NYSE Euronext,United States,Goods
ENS,ENERSYS,NYQ,United States,Industrials
EOAN.DE,Eon Se,Frankfurt Stock Exchange,Germany,Utilities
EOG,Eog Resources Inc,NYSE Euronext,United States,Oil & Gas
EP,EMPIRE PETROLEUM CORPORATION,ASE,United States,Energy
EPR,EPR PROPERTIES,NYQ,United States,Financials
EQIX,Equinix Inc,NASDAQ Global Select,United States,Utilities
EQR,Equity Residential,NYSE Euronext,United States,Financials
EQT,Eqt Corporation,NYSE Euronext,United States,Oil & Gas
ERIE,Erie Indemnity Co,NASDAQ Global Select,United States,Financials
ES,Eversource Energy,NYQ,United States,Utilities
ESE,ESCO TECHNOLOGIES INC.,NYQ,United States,Technology
ESI,ELEMENT SOLUTIONS INC,NYQ,United States,BasicMaterials
ESS,Essex Property Trust In,NYSE Euronext,United States,Financials
ETH,GRAYSCALE ETHEREUM MINI TRUST ETF,PCX,US,Technology
ETN,Eaton Corp,NYSE Euronext,United States,Industrials
ETR,Entergy Corp,NYSE Euronext,United States,Utilities
EV,Eaton Vance Corp,NYSE Euronext,United States,Financials
EVC,ENTRAVISION COMMUNICATIONS CORPORATION,NYQ,United States,Technology
EVR,EVERCORE INC.,NYQ,United States,Financials
EVRG,"Evergy, Inc.",NMS,United States,Utilities
EW,Edwards Lifesciences,NYSE Euronext,United States,Health Care
EXC,Exelon Corp,NYSE Euronext,United States,Utilities
EXE,Expand Energy Corporation,NMS,United States,Oil & Gas
EXK,ENDEAVOUR SILVER CORP.,NYQ,Canada,BasicMaterials
EXP,Eagle Materials Inc,,United States,Materials
EXPN.L,Experian,London Stock Exchange,United Kingdom,Services
EXR,Extra Space Storage Inc,NYSE Euronext,United States,Financials
F,Ford Motor Co,NYSE Euronext,United States,Goods
FAC,FACTORIAL ENERGY INC.,NGM,United States,Industrials
FAF,FIRST AMERICAN FINANCIAL CORPORATION,NYQ,United States,Financials
FANG,"Diamondback Energy, Inc.",NMS,United States,Oil & Gas
FAST,Fastenal Co,NASDAQ Global Select,United States,Industrials
FBP,FIRST BANCORP.,NYQ,United States,Financials
FC,FRANKLIN COVEY CO.,NYQ,United States,ConsumerStpl
FCF,FIRST COMMONWEALTH FINANCIAL CORPORATION,NYQ,United States,Financials
FCN,"FTI CONSULTING, INC.",NYQ,United States,Industrials
FCX,Freeport-Mcmoran C&G,NYSE Euronext,United States,Materials
FDP,DEL MONTE CORPORATION,NYQ,Cayman Islands,Technology
FDS,Factset Research System,NASDAQ Global Select,United States,Services
FDX,Fedex Corp,NYSE Euronext,United States,Industrials
FDXF,"FedEx Freight Holding Company, Inc.",NYQ,United States,Industrials
FE,Firstenergy Corp,NYSE Euronext,United States,Utilities
FENG,PHOENIX NEW MEDIA LIMITED,NYQ,China,Technology
FER,FERROVIAL N.V.,NMS,Netherlands,Industrials
FF,FUTUREFUEL CORP.,NYQ,United States,BasicMaterials
FHN,First Horizon Natl Corp,NYSE Euronext,United States,Financials
FICO,Fair Isaac Corporation,NYQ,United States,Technology
FIS,Fidelity Natl Info Svcs,NYSE Euronext,United States,Industrials
FISV,Fiserv Inc,NASDAQ Global Select,United States,Technology
FIX,"Comfort Systems USA, Inc.",NYQ,United States,Industrials
FLEX,Flex Ltd.,NMS,United States,Technology
FLO,Flowers Foods Inc,NYSE Euronext,United States,Goods
FLR,Fluor Corp,NYSE Euronext,United States,Industrials
FLS,Flowserve Corp,NYSE Euronext,United States,Industrials
FLY,FIREFLY AEROSPACE INC.,NGM,United States,Industrials
FMC,Fmc Corp,NYSE Euronext,United States,Materials
FMS,FRESENIUS MEDICAL CARE AG,NYQ,Germany,Healthcare
FN,FABRINET,NYQ,Cayman Islands,Technology
FNB,F.N.B. CORPORATION,NYQ,United States,Financials
FNF,Fidelity National Finl,NYSE Euronext,United States,Financials
FNV,FRANCO-NEVADA CORPORATION,NYQ,Canada,BasicMaterials
FOR,FORESTAR GROUP INC.,NYQ,United States,Financials
FOX,Fox Corporation,NMS,United States,Services
FR,"FIRST INDUSTRIAL REALTY TRUST, INC.",NYQ,United States,Financials
FRE.DE,FRESENIUS SE & CO. KGAA,GER,Germany,Healthcare
FRES.L,Fresnillo,London Stock Exchange,United Kingdom,Materials
FRO,FRONTLINE PLC,NYQ,Cyprus,Energy
FRT,Federal Realty Invt,NYSE Euronext,United States,Financials
FSM,FORTUNA MINING CORP.,NYQ,Canada,BasicMaterials
FSS,FEDERAL SIGNAL CORPORATION,NYQ,United States,Industrials
FTI,Fmc Technologies Inc,NYSE Euronext,United States,Oil & Gas
FTK,"FLOTEK INDUSTRIES, INC.",NYQ,United States,Energy
FTNT,Fortinet Inc,NASDAQ Global Select,United States,Technology
FTV,Fortive Corporation,NYQ,United States,Technology
FUL,H.B. FULLER COMPANY,NYQ,United States,BasicMaterials
G,Genpact Ltd,NYSE Euronext,United States,Industrials
G.MI,Assicurazioni Generali,Milan Stock Exchange,Italy,Financials
GBX,"THE GREENBRIER COMPANIES, INC.",NYQ,United States,Industrials
GCO,GENESCO INC.,NYQ,United States,ConsumerDiscr
GD,General Dynamics Corp,NYSE Euronext,United States,Industrials
GDDY,GoDaddy Inc.,NYQ,United States,Technology
GDOT,GREEN DOT CORPORATION,NYQ,United States,Financials
GE,General Electric Co,NYSE Euronext,United States,Industrials
GEF,Greif Inc,NYSE Euronext,United States,Industrials
GEF-B,"GREIF, INC.",NYQ,United States,ConsumerDiscr
GEHC,GE HealthCare Technologies Inc.,NMS,United States,Health Care
GEN,Gen Digital Inc.,NMS,United States,Technology
GEO,"THE GEO GROUP, INC.",NYQ,United States,Industrials
GEV,GE Vernova Inc.,NYQ,United States,Industrials
GFF,GRIFFON CORPORATION,NYQ,United States,Industrials
GFI,GOLD FIELDS LIMITED,NYQ,South Africa,BasicMaterials
GGG,Graco Inc,NYSE Euronext,United States,Industrials
GIB,CGI INC.,NYQ,Canada,Technology
GIL,GILDAN ACTIVEWEAR INC.,NYQ,Canada,ConsumerDiscr
GILD,Gilead Sciences Inc,NASDAQ Global Select,United States,Health Care
GIS,General Mills Inc,NYSE Euronext,United States,Goods
GL,Globe Life Inc.,NYQ,United States,Financials
GLE.PA,Societe Generale,Euronext Paris,France,Financials
GLEN.L,Glencore Xstrata,London Stock Exchange,United Kingdom,Materials
GLW,Corning Inc,NYSE Euronext,United States,Technology
GM,General Motors,NYSE Euronext,United States,Goods
GME,Gamestop Corp,NYSE Euronext,United States,Services
GNE,GENIE ENERGY LTD.,NYQ,United States,Utilities
GNK,GENCO SHIPPING & TRADING LIMITED,NYQ,United States,Industrials
GNRC,Generac Holdings Inc.,NYQ,United States,Industrials
GNW,Genworth Financial Inc,NYSE Euronext,United States,Financials
GOOG,Google Inc,NASDAQ Global Select,United States,Technology
GOOGL,Alphabet Inc.,NMS,United States,Services
GPC,Genuine Parts Co,NYSE Euronext,United States,Goods
GPI,"GROUP 1 AUTOMOTIVE, INC.",NYQ,United States,ConsumerDiscr
GPK,GRAPHIC PACKAGING HOLDING COMPANY,NYQ,United States,ConsumerDiscr
GPN,Global Payments Inc,NYSE Euronext,United States,Industrials
GRO,BRAZIL POTASH CORP.,ASE,Canada,BasicMaterials
GS,Goldman Sachs Group,NYSE Euronext,United States,Financials
GSK,GSK PLC,NYQ,United Kingdom,Healthcare
GSK.L,Glaxosmithkline,London Stock Exchange,United Kingdom,Health Care
GSL,"GLOBAL SHIP LEASE, INC.",NYQ,Greece,Industrials
GT,Goodyear Tire & Rubber,NASDAQ Global Select,United States,Goods
GTN,"GRAY MEDIA, INC.",NYQ,United States,Technology
GTN-A,"GRAY MEDIA, INC.",NYQ,United States,Technology
GTY,GETTY REALTY CORP.,NYQ,United States,Financials
GVA,GRANITE CONSTRUCTION INCORPORATED,NYQ,United States,Industrials
GWW,W W Grainger Inc,NYSE Euronext,United States,Industrials
H,Hyatt Hotels Corp,NYSE Euronext,United States,Services
HAE,HAEMONETICS CORPORATION,NYQ,United States,Healthcare
HAL,Halliburton Co,NYSE Euronext,United States,Oil & Gas
HBM,HUDBAY MINERALS INC.,NYQ,Canada,BasicMaterials
HCA,HCA Holdings Inc,NYSE Euronext,United States,Health Care
HCC,HCC Insurance Hldgs In,NYSE Euronext,United States,Financials
HD,Home Depot Inc,NYSE Euronext,United States,Services
HDB,HDFC BANK LIMITED,NYQ,India,Financials
HE,Hawaiian Electric Inds,NYSE Euronext,United States,Utilities
HEI,HEICO CORPORATION,NYQ,United States,Industrials
HEI-A,HEICO CORPORATION,NYQ,United States,Industrials
HEI.DE,HEIDELBERG MATERIALS AG,GER,Germany,BasicMaterials
HEN3.DE,HENKEL AG & CO. KGAA,GER,Germany,ConsumerStpl
HF,DGA CORE PLUS ABSOLUTE RETURN ETF,NYQ,US,Technology
HHS,"HARTE HANKS, INC.",NGM,United States,Industrials
HIG,Hartford Finl Svcs Grp,NYSE Euronext,United States,Financials
HII,Huntington Ingalls Ind,NYSE Euronext,United States,Industrials
HIK.L,HIKMA PHARMACEUTICALS PLC,LSE,United Kingdom,Healthcare
HIT,"HEALTH IN TECH, INC.",NCM,United States,Technology
HIW,"HIGHWOODS PROPERTIES, INC.",NYQ,United States,Financials
HL,HECLA MINING COMPANY,NYQ,United States,BasicMaterials
HLF,Herbalife Ltd,NYSE Euronext,United States,Goods
HLT,Hilton Worldwide Holdings Inc.,NYQ,United States,Goods
HLX,"HELIX ENERGY SOLUTIONS GROUP, INC.",NYQ,United States,Energy
HMC,Honda Motor,,Japan,Goods
HMN,HORACE MANN EDUCATORS CORPORATION,NYQ,United States,Financials
HMSO.L,Hammerson,London Stock Exchange,United Kingdom,Financials
HMY,HARMONY GOLD MINING COMPANY LIMITED,NYQ,South Africa,BasicMaterials
HNI,HNI CORPORATION,NYQ,United States,ConsumerDiscr
HOG,Harley Davidson Inc,NYSE Euronext,United States,Goods
HON,Honeywell International,NYSE Euronext,United States,Industrials
HONA,Honeywell Aerospace Inc.,NMS,United States,Industrials
HOOD,"Robinhood Markets, Inc.",NMS,United States,Financials
HOV,"HOVNANIAN ENTERPRISES, INC.",NYQ,United States,ConsumerDiscr
HP,Helmerich & Payne Inc,NYSE Euronext,United States,Oil & Gas
HPE,Hewlett Packard Enterprise Company,NYQ,United States,Technology
HPP,"HUDSON PACIFIC PROPERTIES, INC.",NYQ,United States,Financials
HPQ,Hewlett Packard Co,NYSE Euronext,United States,Technology
HR,HEALTHCARE REALTY TRUST INCORPORATED,NYQ,United States,Financials
HRB,H&R Block Inc,NYSE Euronext,United States,Services
HRL,Hormel Foods Corp,NYSE Euronext,United States,Goods
HSBA.L,HSBC Holdings,London Stock Exchange,United Kingdom,Financials
HSIC,Schein Henry Inc,NASDAQ Global Select,United States,Health Care
HST,Host Hotels & Resorts,NYSE Euronext,United States,Financials
HSY,Hershey Company,NYSE Euronext,United States,Goods
HTH,HILLTOP HOLDINGS INC.,NYQ,United States,Financials
HTZ,Hertz Global Holdings,NYSE Euronext,United States,Services
HUBB,Hubbell Incorporated,NYQ,United States,Industrials
HUM,Humana Inc,NYSE Euronext,United States,Health Care
HUN,Huntsman Corp,NYSE Euronext,United States,Materials
HVT,"HAVERTY FURNITURE COMPANIES, INC.",NYQ,United States,ConsumerDiscr
HVT-A,"HAVERTY FURNITURE COMPANIES, INC.",NYQ,United States,ConsumerDiscr
HWM,Howmet Aerospace Inc.,NYQ,United States,Industrials
HXL,Hexcel Corp,,United States,Goods
HZO,"MARINEMAX, INC.",NYQ,United States,ConsumerDiscr
IAG,IAMGOLD CORPORATION,NYQ,Canada,BasicMaterials
IAG.L,Intl Consolidated Airlines,London Stock Exchange,United Kingdom,Services
IBE.MC,"IBERDROLA, S.A.",MCE,Spain,Utilities
IBKR,Interactive Brokers Gro,NASDAQ Global Select,United States,Financials
IBM,IBM,NYSE Euronext,United States,Technology
IBN,ICICI BANK LIMITED,NYQ,India,Financials
ICE,IntercontinentalExchange Group,NYSE Euronext,United States,Financials
IDA,"IDACORP, INC.",NYQ,United States,Utilities
IDT,IDT CORPORATION,NYQ,United States,Technology
IDXX,Idexx Labs Inc,NASDAQ Global Select,United States,Health Care
IEX,Idex Corp,NYSE Euronext,United States,Industrials
IFF,Intl Flavors & Fragranc,NYSE Euronext,United States,Materials
IFX.DE,INFINEON TECHNOLOGIES AG,GER,Germany,Technology
IHG,INTERCONTINENTAL HOTELS GROUP PLC,NYQ,United Kingdom,ConsumerDiscr
IHG.L,Intercontinental Hotels Group,London Stock Exchange,United Kingdom,Services
IHS,IHS Inc,NYSE Euronext,United States,Services
III.L,3I GROUP ORD,LSE,United Kingdom,Financials
ILMN,Illumina Inc,NASDAQ Global Select,United States,Goods
IMAX,IMAX CORPORATION,NYQ,Canada,Technology
IMB.L,IMPERIAL BRANDS PLC,LSE,United Kingdom,ConsumerStpl
IMI.L,IMI,London Stock Exchange,United Kingdom,Goods
INCY,Incyte Corp,NASDAQ Global Select,United States,Health Care
INF.L,INFORMA PLC,LSE,United Kingdom,Technology
ING,ING GROEP N.V.,NYQ,Netherlands,Financials
INGA.AS,ING Groep Nv,Euronext Amsterdam,Netherlands,Financials
INN,"SUMMIT HOTEL PROPERTIES, INC.",NYQ,United States,Financials
INTC,Intel Corp,NASDAQ Global Select,United States,Technology
INTU,Intuit,NASDAQ Global Select,United States,Technology
INVH,Invitation Homes Inc.,NYQ,United States,Financials
INVN,ALGER RUSSELL INNOVATION ETF,PCX,US,Technology
IP,International Paper Co,NYSE Euronext,United States,Materials
IPI,"INTREPID POTASH, INC.",NYQ,United States,BasicMaterials
IQV,IQVIA Holdings Inc.,NYQ,United States,Health Care
IR,Ingersoll-Rand Plc,NYSE Euronext,United States,Industrials
IRE,DEFIANCE DAILY TARGET 2X LONG IREN ETF,PCX,US,Technology
IRM,Iron Mountain Inc,NYSE Euronext,United States,Industrials
IRS,IRSA INVERSIONES Y REPRESENTACIONES SOCIEDAD ANÓNIMA,NYQ,Argentina,Financials
ISP.MI,Intesa Sanpaolo,Milan Stock Exchange,Italy,Financials
ISRG,Intuitive Surgical Inc,NASDAQ Global Select,United States,Health Care
IT,Gartner Inc,NYSE Euronext,United States,Technology
ITG,"ITG, INC. CLASS A COMMON STOCK",NMS,US,Technology
ITRK.L,Intertek Group,London Stock Exchange,United Kingdom,Services
ITT,ITT Corporation,NYSE Euronext,United States,Industrials
ITV.L,ITV,London Stock Exchange,United Kingdom,Services
ITW,Illinois Tool Works Inc,NYSE Euronext,United States,Industrials
ITX.MC,"INDUSTRIA DE DISEÑO TEXTIL, S.A.",MCE,Spain,ConsumerDiscr
IVR,INVESCO MORTGAGE CAPITAL INC.,NYQ,United States,Financials
IVZ,Invesco Ltd,NYSE Euronext,United States,Financials
IX,ORIX CORPORATION,NYQ,Japan,Financials
J,Jacobs Solutions Inc.,NYQ,United States,Industrials
JBHT,JB Hunt Transport Services,NASDAQ Global Select,United States,Industrials
JBL,Jabil Circuit Inc,NYSE Euronext,United States,Industrials
JCI,Johnson Controls Inc,NYSE Euronext,United States,Goods
JD.L,JD SPORTS FASHION PLC,LSE,United Kingdom,ConsumerDiscr
JEF,JEFFERIES FINANCIAL GROUP INC.,NYQ,United States,Financials
JKHY,Jack Henry & Associates,NASDAQ Global Select,United States,Technology
JKS,"JINKOSOLAR HOLDING CO., LTD.",NYQ,China,Technology
JLL,Jones Lang Lasalle Inc,NYSE Euronext,United States,Financials
JMAT.L,Johnson Matthey,London Stock Exchange,United Kingdom,Materials
JNJ,Johnson & Johnson,NYSE Euronext,United States,Health Care
JOE,St Joe Co,NYSE Euronext,United States,Financials
JPM,JPMorgan Chase & Co,NYSE Euronext,United States,Financials
KAI,KADANT INC.,NYQ,United States,Industrials
KB,KB FINANCIAL GROUP INC.,NYQ,South Korea,Financials
KBH,KB HOME,NYQ,United States,ConsumerDiscr
KBR,KBR Inc,NYSE Euronext,United States,Industrials
KDP,Keurig Dr Pepper Inc.,NMS,United States,Goods
KEM,KRANESHARES DYNAMIC EMERGING MARKETS STRATEGY ETF,PCX,US,Technology
KEP,KOREA ELECTRIC POWER CORPORATION,NYQ,South Korea,Utilities
KEX,Kirby Corp,NYSE Euronext,United States,Industrials
KEY,Keycorp,NYSE Euronext,United States,Financials
KEYS,"Keysight Technologies, Inc.",NYQ,United States,Technology
KFS,KINGSWAY FINANCIAL SERVICES INC,NYQ,United States,Financials
KFY,KORN FERRY,NYQ,United States,Industrials
KGC,KINROSS GOLD CORPORATION,NYQ,Canada,BasicMaterials
KGF.L,Kingfisher,London Stock Exchange,United Kingdom,Services
KHC,The Kraft Heinz Company,NMS,United States,Goods
KIM,Kimco Realty Corp,NYSE Euronext,United States,Financials
KKR,KKR & Co. Inc.,NYQ,United States,Financials
KLAC,Kla Tencor Corp,NASDAQ Global Select,United States,Goods
KMB,Kimberly Clark Corp,NYSE Euronext,United States,Goods
KMI,Kinder Morgan Inc Del,NYSE Euronext,United States,Oil & Gas
KMPR,Kemper Corporation,NYSE Euronext,United States,Financials
KMT,Kennametal Inc,NYSE Euronext,United States,Industrials
KMX,Carmax Inc,NYSE Euronext,United States,Services
KNX,KNIGHT-SWIFT TRANSPORTATION HOLDINGS INC.,NYQ,United States,Industrials
KO,The Coca-Cola Company,NYSE Euronext,United States,Goods
KOF,"COCA-COLA FEMSA, S.A.B. DE C.V.",NYQ,Mexico,ConsumerStpl
KOP,KOPPERS HOLDINGS INC.,NYQ,United States,BasicMaterials
KOS,Kosmos Energy Ltd,NYSE Euronext,United States,Oil & Gas
KR,Kroger Co,NYSE Euronext,United States,Services
KRC,Kilroy Realty Corp,NYSE Euronext,United States,Financials
KRG,KITE REALTY GROUP TRUST,NYQ,United States,Financials
KRO,Kronos Worldwide Inc,NYSE Euronext,United States,Materials
KS,KAPSTONE PAPER AND PACKAGING CORPORATION,YHD,US,Technology
KSS,Kohls Corp,NYSE Euronext,United States,Services
KT,KT CORPORATION,NYQ,South Korea,Technology
KVUE,Kenvue Inc.,NYQ,United States,Goods
KW,"KENNEDY-WILSON HOLDINGS, INC.",NYQ,United States,Financials
KWR,QUAKER CHEMICAL CORPORATION,NYQ,United States,BasicMaterials
L,Loews Corp,NYSE Euronext,United States,Financials
LAD,"LITHIA MOTORS, INC.",NYQ,United States,ConsumerDiscr
LAND.L,Land Securities Group,London Stock Exchange,United Kingdom,Financials
LAZ,Lazard Ltd,NYSE Euronext,United States,Financials
LDOS,"Leidos Holdings, Inc.",NYQ,United States,Technology
LEA,Lear Corp,NYSE Euronext,United States,Goods
LEG,Leggett & Platt Inc,NYSE Euronext,United States,Goods
LEN,Lennar Corp,NYSE Euronext,United States,Goods
LEN-B,LENNAR CORPORATION,NYQ,United States,ConsumerDiscr
LGEN.L,Legal & General Group,London Stock Exchange,United Kingdom,Financials
LH,Laboratory Corp Of Amer,NYSE Euronext,United States,Health Care
LHX,"L3Harris Technologies, Inc.",NYQ,United States,Industrials
LII,Lennox International In,NYSE Euronext,United States,Industrials
LIN,Linde plc,NMS,United Kingdom,Materials
LIN.DE,LINDE PLC,GER,US,Technology
LITE,Lumentum Holdings Inc.,NMS,United States,Technology
LLOY.L,Lloyds Banking Group,London Stock Exchange,United Kingdom,Financials
LLY,Lilly Eli & Co,NYSE Euronext,United States,Health Care
LMT,Lockheed Martin Corp,NYSE Euronext,United States,Industrials
LNC,Lincoln National Corp,NYSE Euronext,United States,Financials
LNN,LINDSAY CORPORATION,NYQ,United States,Industrials
LNT,Alliant Energy Corp,NYSE Euronext,United States,Utilities
LOW,Lowe's Companies,NYSE Euronext,United States,Services
LPL,"LG DISPLAY CO., LTD.",NYQ,South Korea,Technology
LPX,LOUISIANA-PACIFIC CORPORATION,NYQ,United States,Industrials
LRCX,Lam Research Corp,NASDAQ Global Select,United States,Technology
LRN,"STRIDE, INC.",NYQ,United States,ConsumerStpl
LSE,"LEISHEN ENERGY HOLDING CO., LTD.",NCM,China,Energy
LSEG.L,LONDON STOCK EXCHANGE GROUP PLC,LSE,United Kingdom,Financials
LTC,"LTC PROPERTIES, INC.",NYQ,United States,Financials
LTM,LATAM AIRLINES GROUP S.A.,NYQ,Chile,Industrials
LULU,lululemon athletica inc.,NMS,Canada,Goods
LUV,Southwest Airlines Co,NYSE Euronext,United States,Services
LUX,TEMA ETF TRUST - TEMA LUXURY ETF,PCX,US,Technology
LVS,Las Vegas Sands Corp,NYSE Euronext,United States,Services
LXP,LXP INDUSTRIAL TRUST,NYQ,United States,Financials
LXU,"LSB INDUSTRIES, INC.",NYQ,United States,BasicMaterials
LYB,Lyondellbasell Inds,NYSE Euronext,United States,Materials
LYG,LLOYDS BANKING GROUP PLC,NYQ,United Kingdom,Financials
LYV,"Live Nation Entertainment, Inc.",NYQ,United States,Services
LZB,LA-Z-BOY INCORPORATED,NYQ,United States,ConsumerDiscr
M,Macys Inc,NYSE Euronext,United States,Services
MA,Mastercard Inc,NYSE Euronext,United States,Financials
MAA,Mid-America Apartment,NYSE Euronext,United States,Financials
MAC,Macerich Co,NYSE Euronext,United States,Financials
MAN,ManpowerGroup,NYSE Euronext,United States,Industrials
MAR,Marriott Intl Inc,NYSE Euronext,United States,Services
MAS,Masco Corp,NYSE Euronext,United States,Industrials
MBG.DE,MERCEDES-BENZ GROUP AG,GER,Germany,ConsumerDiscr
MBI,MBIA Inc,NYSE Euronext,United States,Financials
MC.PA,Moet Hennessy Louis Vuitton,Euronext Paris,France,Services
MCD,McDonalds Corp,NYSE Euronext,United States,Services
MCHP,Microchip Technology,NASDAQ Global Select,United States,Technology
MCK,McKesson Corp,NYSE Euronext,United States,Services
MCO,Moodys Corp,NYSE Euronext,United States,Financials
MCS,THE MARCUS CORPORATION,NYQ,United States,Technology
MCY,Mercury General Corp,NYSE Euronext,United States,Financials
MD,Mednax Inc,NYSE Euronext,United States,Health Care
MDLZ,Mondelez Intl Cmn A,NASDAQ Global Select,United States,Goods
MDT,Medtronic Inc,NYSE Euronext,United States,Health Care
MDU,MDU Resources Group,NYSE Euronext,United States,Industrials
MED,"MEDIFAST, INC.",NYQ,United States,ConsumerDiscr
MEI,"METHODE ELECTRONICS, INC.",NYQ,United States,Technology
MELI,"MERCADOLIBRE, INC.",NMS,Uruguay,Technology
MET,MetLife Inc,NYSE Euronext,United States,Financials
META,"Meta Platforms, Inc.",NMS,United States,Services
MFA,MFA Financial Inc,NYSE Euronext,United States,Financials
MFC,MANULIFE FINANCIAL CORPORATION,NYQ,Canada,Financials
MFG,"MIZUHO FINANCIAL GROUP, INC.",NYQ,Japan,Financials
MG,"MISTRAS GROUP, INC.",NYQ,United States,Industrials
MGA,MAGNA INTERNATIONAL INC.,NYQ,Canada,ConsumerDiscr
MGM,MGM Resorts Intl,NYSE Euronext,United States,Services
MHK,Mohawk Industries Inc,NYSE Euronext,United States,Goods
MHO,"M/I HOMES, INC.",NYQ,United States,ConsumerDiscr
MIG,VANECK MOODY'S ANALYTICS IG CORPORATE BOND ETF,BTS,US,Technology
MITT,"TPG MORTGAGE INVESTMENT TRUST, INC.",NYQ,United States,Financials
MKC,McCormick & Co Inc,NYSE Euronext,United States,Goods
MKC-V,"MCCORMICK & COMPANY, INCORPORATED",NYQ,United States,ConsumerStpl
MKL,Markel Corp,NYSE Euronext,United States,Financials
MKS.L,Marks & Spencer Group,London Stock Exchange,United Kingdom,Services
MLI,"MUELLER INDUSTRIES, INC.",NYQ,United States,Industrials
MLM,Martin Marietta Materials,NYSE Euronext,United States,Industrials
MLP,"MAUI LAND & PINEAPPLE COMPANY, INC.",NYQ,United States,Financials
MLR,"MILLER INDUSTRIES, INC.",NYQ,United States,ConsumerDiscr
MMI,"MARCUS & MILLICHAP, INC.",NYQ,United States,Financials
MMM,3M Co,NYSE Euronext,United States,Industrials
MMS,"MAXIMUS, INC.",NYQ,United States,Industrials
MNG.L,M&G PLC,LSE,United Kingdom,Financials
MNR,MACH NATURAL RESOURCES LP,NYQ,United States,Energy
MNST,Monster Beverage Corp,NASDAQ Global Select,United States,Goods
MO,Altria Group Inc,NYSE Euronext,United States,Goods
MOD,MODINE MANUFACTURING COMPANY,NYQ,United States,ConsumerDiscr
MOG-A,MOOG INC.,NYQ,United States,Industrials
MOG-B,MOOG INC.,NYQ,United States,Industrials
MOH,"MOLINA HEALTHCARE, INC.",NYQ,United States,Healthcare
MOS,Mosaic Company,NYSE Euronext,United States,Materials
MOV,"MOVADO GROUP, INC.",NYQ,United States,ConsumerDiscr
MPC,Marathon Petroleum Corp,NYSE Euronext,United States,Oil & Gas
MPG,LEVERAGE SHARES 2X LONG MP DAILY ETF,NGM,US,Technology
MPWR,"Monolithic Power Systems, Inc.",NMS,United States,Technology
MPX,MARINE PRODUCTS CORP,NYQ,United States,ConsumerDiscr
MRK,Merck & Co Inc,NYSE Euronext,United States,Health Care
MRNA,"Moderna, Inc.",NMS,United States,Health Care
MRO.L,Melrose Plc,London Stock Exchange,United Kingdom,Financials
MRSH,"Marsh & McLennan Companies, Inc.",NYQ,United States,Financials
