Name,Symbol,Industry,SubIndustry,SandP,Dow,Country,Region,
Delphi Automotive PLC,DLPH,Consumer Goods,undefined,NO,NO,United States,United States,510
Digital Realty Trust Inc.,DLR,Financials,Industrial and Office Real Estate Investment Trusts,NO,NO,United States,United States,DLR
Deluxe Corp.,DLX,Industrials,Financial Administration,NO,NO,United States,United States,DLX
Dolan Media Co.,DM,Consumer Services,Publishing,NO,NO,United States,United States,DM
Demand Media Inc.,DMD,Consumer Services,undefined,NO,NO,United States,United States,514
Dun & Bradstreet Corp.,DNB,Consumer Services,Publishing,YES,NO,United States,United States,DNB
Denbury Resources Inc.,DNR,Oil and Gas,Exploration and Production,YES,NO,United States,United States,DNR
Diamond Offshore Drilling Inc.,DO,Oil and Gas,Oil Equipment and Services,YES,NO,United States,United States,DO
Dole Food Co. Inc.,DOLE,Consumer Goods,Food Products,NO,NO,United States,United States,DOLE
Dover Corp.,DOV,Industrials,Industrial Machinery,YES,NO,United States,United States,DOV
Dow Chemical Co.,DOW,Basic Materials,Commodity Chemicals,YES,NO,United States,United States,DOW
Amdocs Ltd.,DOX,Technology,Software,NO,NO,United States,United States,DOX
Dr Pepper Snapple Group Inc.,DPS,Consumer Goods,Soft Drinks,YES,NO,United States,United States,DPS
Domino's Pizza Inc.,DPZ,Consumer Services,Restaurants and Bars,NO,NO,United States,United States,DPZ
Daqo New Energy Corp.,DQ,Basic Materials,undefined,NO,NO,China,Asia-Pacific,524
Dresser-Rand Group Inc.,DRC,Oil and Gas,Oil Equipment and Services,NO,NO,United States,United States,DRC
Duke Realty Corp.,DRE,Financials,Industrial and Office Real Estate Investment Trusts,NO,NO,United States,United States,DRE
Diamondrock Hospitality Co.,DRH,Financials,Hotel and Lodging Real Estate Investment Trusts,NO,NO,United States,United States,DRH
Darden Restaurants Inc.,DRI,Consumer Services,Restaurants and Bars,YES,NO,United States,United States,DRI
Doral Financial Corp.,DRL,Financials,Banks,NO,NO,United States,United States,DRL
Dril-Quip Inc.,DRQ,Oil and Gas,Oil Equipment and Services,NO,NO,United States,United States,DRQ
DST Systems Inc.,DST,Technology,Computer Services,NO,NO,United States,United States,DST
DSW Inc. Cl A,DSW,Consumer Services,Apparel Retailers,NO,NO,United States,United States,DSW
Diana Shipping Inc.,DSX,Industrials,Marine Transportation,NO,NO,United States,United States,DSX
DTE Energy Co.,DTE,Utilities,Conventional Electricity,YES,NO,United States,United States,DTE
Dollar Thrifty Automotive Group Inc.,DTG,Consumer Services,Travel and Tourism,NO,NO,United States,United States,DTG
Duff & Phelps Corp. Cl A,DUF,Financials,Investment Services,NO,NO,United States,United States,DUF
Duke Energy Corp.,DUK,Utilities,Multiutilities,YES,NO,United States,United States,DUK
DeVry Inc.,DV,Consumer Services,Specialized Consumer Services,YES,NO,United States,United States,DV
DaVita Inc.,DVA,Health Care,Health Care Providers,YES,NO,United States,United States,DVA
Dover Motorsports Inc.,DVD,Consumer Services,Recreational Services,NO,NO,United States,United States,DVD
Devon Energy Corp.,DVN,Oil and Gas,Exploration and Production,YES,NO,United States,United States,DVN
Cal Dive International Inc.,DVR,Oil and Gas,Oil Equipment and Services,NO,NO,United States,United States,DVR
Drew Industries Inc.,DW,Consumer Goods,Recreational Products,NO,NO,United States,United States,DW
Dynex Capital Inc.,DX,Financials,Mortgage Real Estate Investment Trusts,NO,NO,United States,United States,DX
Dycom Industries Inc.,DY,Technology,Telecommunications Equipment,NO,NO,United States,United States,DY
Dynegy Inc. Cl A,DYN,Utilities,Conventional Electricity,YES,NO,United States,United States,DYN
ENI S.p.A.,E,Oil and Gas,Integrated Oil and Gas,NO,NO,Italy,Europe,E
Brinker International Inc.,EAT,Consumer Services,Restaurants and Bars,NO,NO,United States,United States,EAT
Ennis Inc.,EBF,Industrials,Business Support Services,NO,NO,United States,United States,EBF
Centrais Eletricas Brasileiras S-A,EBR,Utilities,Alternative Electricity,NO,NO,Brazil,Latin America,EBR
Emergent Biosolutions Inc.,EBS,Health Care,Biotechnology,NO,NO,United States,United States,EBS
Ecopetrol S.A.,EC,Oil and Gas,Integrated Oil and Gas,NO,NO,Columbia,Latin America,EC
EnCana Corp.,ECA,Oil and Gas,Exploration and Production,NO,NO,Canada,Canada,ECA
Ecolab Inc.,ECL,Basic Materials,Specialty Chemicals,YES,NO,United States,United States,ECL
Consolidated Edison Inc.,ED,Utilities,Conventional Electricity,YES,NO,United States,United States,ED
Empire District Electric Co.,EDE,Utilities,Conventional Electricity,NO,NO,United States,United States,EDE
Empresa Distribuidora y Comercializadora Nort,EDN,Utilities,Conventional Electricity,NO,NO,Argentina,Latin America,EDN
Education Realty Trust Inc.,EDR,Financials,Residential Real Estate Investment Trusts,NO,NO,United States,United States,EDR
New Oriental Education & Technology Group Inc,EDU,Consumer Services,Specialized Consumer Services,NO,NO,China,Asia-Pacific,EDU
El Paso Electric Co.,EE,Utilities,Conventional Electricity,NO,NO,United States,United States,EE
Equifax Inc.,EFX,Financials,Specialty Finance,YES,NO,United States,United States,EFX
Energen Corp.,EGN,Oil and Gas,Exploration and Production,NO,NO,United States,United States,EGN
Eldorado Gold Corp.,EGO,Basic Materials,Gold Mining,NO,NO,Canada,Canada,EGO
EastGroup Properties Inc.,EGP,Financials,Industrial and Office Real Estate Investment Trusts,NO,NO,United States,United States,EGP
Vaalco Energy Inc.,EGY,Oil and Gas,Exploration and Production,NO,NO,United States,United States,EGY
Employers Holdings Inc.,EIG,Financials,Life Insurance,NO,NO,United States,United States,EIG
Edison International,EIX,Utilities,Conventional Electricity,YES,NO,United States,United States,EIX
E-House (China) Holdings Ltd.,EJ,Financials,Real Estate Services,NO,NO,China,Asia-Pacific,EJ
Eastman Kodak Co.,EK,Consumer Goods,Recreational Products,YES,NO,United States,United States,EK
Estee Lauder Cos. Inc.,EL,Consumer Goods,Personal Products,YES,NO,United States,United States,EL
Elan Corp. PLC,ELN,Health Care,Pharmaceuticals,NO,NO,Ireland,Europe,ELN
Equity Lifestyle Properties Inc.,ELS,Financials,Residential Real Estate Investment Trusts,NO,NO,United States,United States,ELS
Elster Group SE,ELT,Industrials,undefined,NO,NO,Germany,Europe,573
Emulex Corp.,ELX,Technology,Telecommunications Equipment,NO,NO,United States,United States,ELX
Callaway Golf Co.,ELY,Consumer Goods,Recreational Products,NO,NO,United States,United States,ELY
EMC Corp.,EMC,Technology,Computer Hardware,YES,NO,United States,United States,EMC
EMCOR Group Inc.,EME,Industrials,Heavy Construction,NO,NO,United States,United States,EME
Eastman Chemical Co.,EMN,Basic Materials,Commodity Chemicals,YES,NO,United States,United States,EMN
Emerson Electric Co.,EMR,Industrials,Electronic Equipment,YES,NO,United States,United States,EMR
Enbridge Inc.,ENB,Oil and Gas,Pipelines,NO,NO,Canada,Canada,ENB
Endeavour International Corp.,END,Oil and Gas,undefined,NO,NO,United States,United States,581
Endurance Specialty Holdings Ltd.,ENH,Financials,Reinsurance,NO,NO,United States,United States,ENH
Enersis S.A.,ENI,Utilities,Conventional Electricity,NO,NO,Chile,Latin America,ENI
Reed Elsevier N.V.,ENL,Consumer Services,Publishing,NO,NO,Netherlands,Europe,ENL
Energizer Holdings Inc.,ENR,Consumer Goods,Nondurable Household Products,NO,NO,United States,United States,ENR
EnerSys Inc.,ENS,Industrials,Electrical Components and Equipment,NO,NO,United States,United States,ENS
Envestnet Inc.,ENV,Technology,undefined,NO,NO,United States,United States,587
Enzo Biochem Inc.,ENZ,Health Care,Biotechnology,NO,NO,United States,United States,ENZ
Empresa Nacional de Electricidad S.A.,EOC,Utilities,Alternative Electricity,NO,NO,Chile,Latin America,EOC
EOG Resources Inc.,EOG,Oil and Gas,Exploration and Production,YES,NO,United States,United States,EOG
El Paso Corp.,EP,Oil and Gas,Pipelines,YES,NO,United States,United States,EP
Energy Partners Ltd.,EPL,Oil and Gas,Exploration and Production,NO,NO,United States,United States,EPL
Entertainment Properties Trust,EPR,Financials,Diversified Real Estate Investment Trusts,NO,NO,United States,United States,EPR
Equity Residential,EQR,Financials,Residential Real Estate Investment Trusts,YES,NO,United States,United States,EQR
EQT Corp.,EQT,Utilities,Gas Distribution,YES,NO,United States,United States,EQT
Equal Energy Ltd.,EQU,Oil and Gas,undefined,NO,NO,Canada,Canada,596
Equity One Inc.,EQY,Financials,Retail Real Estate Investment Trusts,NO,NO,United States,United States,EQY
Embraer S-A,ERJ,Industrials,undefined,NO,NO,Brazil,Latin America,598
EnergySolutions Inc.,ES,Industrials,Waste and Disposal Services,NO,NO,United States,United States,ES
Emeritus Corp.,ESC,Health Care,Health Care Providers,NO,NO,United States,United States,ESC
ESCO Technologies Inc.,ESE,Industrials,Electronic Equipment,NO,NO,United States,United States,ESE
ITT Educational Services Inc.,ESI,Consumer Services,Specialized Consumer Services,NO,NO,United States,United States,ESI
Esterline Technologies Corp.,ESL,Industrials,Aerospace,NO,NO,United States,United States,ESL
Essex Property Trust Inc.,ESS,Financials,Residential Real Estate Investment Trusts,NO,NO,United States,United States,ESS
ENSCO International Inc.,ESV,Oil and Gas,Oil Equipment and Services,YES,NO,United States,United States,ESV
Ethan Allen Interiors Inc.,ETH,Consumer Goods,Furnishings,NO,NO,United States,United States,ETH
Entercom Communications Corp. Cl A,ETM,Consumer Services,Broadcasting and Entertainment,NO,NO,United States,United States,ETM
Eaton Corp.,ETN,Industrials,Diversified Industrials,YES,NO,United States,United States,ETN
Entergy Corp.,ETR,Utilities,Conventional Electricity,YES,NO,United States,United States,ETR
Eaton Vance Corp.,EV,Financials,Asset Managers,NO,NO,United States,United States,EV
Entravision Communications Corp.,EVC,Consumer Services,Broadcasting and Entertainment,NO,NO,United States,United States,EVC
